name,popularity,duration_ms,track_id,artist_id,artist_name,num_artists,album_id,release_date,playlist_id,playlist_name
Superhero,2,206158,0u9ipwV0GrYVb2yREt3A51,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,1,1daVJkSjmO83J9zPY6O4OG,2003-01-01,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS 
Magpakailanman,58,326120,1yLFnEUfKDGCDeXcp1nIem,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,1,2Mng4RzoMnhpQcVo7TFkNy,2005-05-11,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS 
Deadma - Version 1,54,229533,2MFGYeYuRwzSeYg1eEzgXW,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,1,2Mng4RzoMnhpQcVo7TFkNy,2005-05-11,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS 
No Label,28,249266,2ujsiMAISzHLgkSMv4OG4x,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,1,3H6ZPfCNbawNVtqOcgndjy,2019-03-06,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS 
Sige,56,313613,6urc3cyjdF95Ip04L0rDDE,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1,4JfQfFmSQgbEOscuEdh2QB,2003-11-18,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS 
Upside Down,62,324693,1JC4niMbshPlor1BPagn2L,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1,1Im5BTDBghgM0NG75SaiC3,2007-01-15,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS 
Sandalan,61,236106,0oSpCoA0I9wg2UAKT4XGTX,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1,0YydJV3mc5KkCZhqnSvzjO,2005-10-17,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS 
Biglaan,49,286853,2RtdtmEvssq6bEJQtuJabt,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1,4JfQfFmSQgbEOscuEdh2QB,2003-11-18,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS 
Hey Daydreamer,44,223386,632JUvf30LG7QyNGq9CLGr,6yk6AUYniuCmUkf7D63AUW,Somedaydream,1,5QR896eLExDzXem0i8N0CG,2011-01-01,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS 
The Day You Said Goodnight,3,291357,0HZ3OUVrGHxttD2EuHqRm3,6Ww3OMFzCaO33ulKh1LBFN,Hale,1,472GgeFZaCdRLcL3cT0IAn,2005-01-01,6g5RQVCElCcmbTxWsC3VB6,PINOY ROCK BANDS SONGS 
